"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.337303840E0,2.364464104E-2,-8.415985107E-2,-1.837425828E-1,2.034779750E-1
2.347302873E0,3.769128770E-2,2.154340744E-1,-2.308413386E-1,3.179940207E-1
2.357301906E0,1.602379233E-2,5.508012772E-1,-2.313218117E-1,5.976191006E-1
2.367301006E0,-2.342471853E-3,7.687873840E-1,-2.539357543E-1,8.096436848E-1
2.377300106E0,-4.123076797E-4,9.220361710E-1,-2.678239346E-1,9.601460985E-1
2.387299172E0,-3.799494356E-2,1.147010803E0,-2.468162775E-1,1.173880604E0
2.397298205E0,-5.225881562E-2,1.386270523E0,-3.005845547E-1,1.419446379E0
2.407297305E0,-5.958915874E-2,1.666151047E0,-3.024345636E-1,1.694425225E0
2.417296405E0,-8.119601011E-2,1.862138748E0,-3.147717714E-1,1.890300182E0
2.427295438E0,-1.069177538E-1,2.082001686E0,-3.515946269E-1,2.114185708E0
2.437294538E0,-1.291930825E-1,2.217989445E0,-3.748323917E-1,2.253146101E0
2.447293638E0,-1.284659207E-1,2.274960518E0,-3.814791441E-1,2.310297641E0
2.457292671E0,-1.214570701E-1,2.346284389E0,-3.977358937E-1,2.382854611E0
2.467291771E0,-1.334622055E-1,2.482372761E0,-4.370958805E-1,2.524091815E0
2.477290871E0,-1.390368640E-1,2.575446129E0,-4.373291731E-1,2.616010477E0
2.487289971E0,-1.310423613E-1,2.659096241E0,-4.483968914E-1,2.699819381E0
2.497289071E0,-1.433556676E-1,2.680604458E0,-4.559481144E-1,2.722880789E0
2.507288171E0,-1.258244812E-1,2.613673687E0,-4.333901405E-1,2.652347820E0
2.517287271E0,-1.240557134E-1,2.472661018E0,-4.309706092E-1,2.513001790E0
2.527286371E0,-1.167770997E-1,2.413225651E0,-4.125705361E-1,2.451022109E0
2.537285371E0,-1.206334084E-1,2.332344055E0,-4.001871347E-1,2.369500149E0
2.547284471E0,-9.751819819E-2,2.261183262E0,-3.816759586E-1,2.295242053E0
2.557283571E0,-6.685250252E-2,2.151812553E0,-3.813806772E-1,2.186370907E0
2.567282604E0,-8.112944663E-2,1.965917587E0,-3.391368985E-1,1.996604063E0
2.577281670E0,-8.624722809E-2,1.717803955E0,-3.037082553E-1,1.746575998E0
2.587280636E0,-5.343012512E-2,1.448163986E0,-2.750657201E-1,1.475023681E0
2.597279602E0,-5.268668383E-2,1.228797913E0,-2.438087463E-1,1.253859203E0
2.607278502E0,-5.080540478E-2,1.069256783E0,-2.388823628E-1,1.096793526E0
2.617277368E0,-6.444127858E-2,8.019657135E-1,-2.005967498E-1,8.291807644E-1
2.627276234E0,-6.746683270E-2,5.728750229E-1,-1.629427671E-1,5.994062985E-1
2.637275067E0,-8.827581257E-2,2.862625122E-1,-1.380085349E-1,3.298260158E-1
2.647273833E0,-9.558803588E-2,-9.143352509E-2,-8.532178402E-2,1.574070168E-1
2.657272633E0,-1.154096872E-1,-3.878431320E-1,-4.810661077E-2,4.074996159E-1
2.667271366E0,-1.208966672E-1,-6.077947617E-1,-2.242457867E-2,6.201075215E-1
2.677270032E0,-1.235071421E-1,-6.076068878E-1,-1.985412836E-2,6.203501678E-1
2.687268765E0,-1.397584677E-1,-1.045681000E0,-6.684720516E-3,1.055000411E0
2.697267498E0,-1.600609422E-1,-1.277942657E0,2.887666225E-3,1.287930619E0
2.707266198E0,-1.553241313E-1,-1.546167374E0,-4.627704620E-4,1.553949596E0
